,date,variable,value
185,2020-05-22,Lettre,38
186,2020-05-23,Lettre,40
187,2020-05-24,Lettre,43
188,2020-05-25,Lettre,33
189,2020-05-26,Lettre,90
190,2020-05-27,Lettre,30
191,2020-05-28,Lettre,41
192,2020-05-29,Lettre,52
193,2020-05-30,Lettre,22
194,2020-05-31,Lettre,56
195,2020-06-01,Lettre,39
196,2020-06-02,Lettre,77
197,2020-06-03,Lettre,86
198,2020-06-04,Lettre,71
199,2020-06-05,Lettre,27
200,2020-06-06,Lettre,41
201,2020-06-07,Lettre,31
202,2020-06-08,Lettre,36
203,2020-06-09,Lettre,28
204,2020-06-10,Lettre,56
205,2020-06-11,Lettre,64
206,2020-06-12,Lettre,67
207,2020-06-13,Lettre,33
208,2020-06-14,Lettre,43
209,2020-06-15,Lettre,48
210,2020-06-16,Lettre,65
211,2020-06-17,Lettre,37
212,2020-06-18,Lettre,28
213,2020-06-19,Lettre,0
214,2020-06-20,Lettre,66
215,2020-06-21,Lettre,21
216,2020-06-22,Lettre,40
217,2020-06-23,Lettre,20
218,2020-06-24,Lettre,41
219,2020-06-25,Lettre,51
220,2020-06-26,Lettre,69
221,2020-06-27,Lettre,60
222,2020-06-28,Lettre,0
223,2020-06-29,Lettre,47
224,2020-06-30,Lettre,39
225,2020-07-01,Lettre,58
226,2020-07-02,Lettre,19
227,2020-07-03,Lettre,48
228,2020-07-04,Lettre,42
229,2020-07-05,Lettre,21
230,2020-07-06,Lettre,39
231,2020-07-07,Lettre,39
232,2020-07-08,Lettre,39
233,2020-07-09,Lettre,20
234,2020-07-10,Lettre,53
235,2020-07-11,Lettre,47
236,2020-07-12,Lettre,24
237,2020-07-13,Lettre,30
238,2020-07-14,Lettre,30
239,2020-07-15,Lettre,30
240,2020-07-16,Lettre,42
241,2020-07-17,Lettre,22
242,2020-07-18,Lettre,23
243,2020-07-19,Lettre,46
244,2020-07-20,Lettre,43
245,2020-07-21,Lettre,43
246,2020-07-22,Lettre,42
247,2020-07-23,Lettre,32
248,2020-07-24,Lettre,44
249,2020-07-25,Lettre,57
250,2020-07-26,Lettre,23
251,2020-07-27,Lettre,61
252,2020-07-28,Lettre,63
253,2020-07-29,Lettre,55
254,2020-07-30,Lettre,44
255,2020-07-31,Lettre,47
256,2020-08-01,Lettre,95
257,2020-08-02,Lettre,47
258,2020-08-03,Lettre,73
259,2020-08-04,Lettre,40
260,2020-08-05,Lettre,31
261,2020-08-06,Lettre,43
262,2020-08-07,Lettre,23
263,2020-08-08,Lettre,25
264,2020-08-09,Lettre,24
265,2020-08-10,Lettre,42
266,2020-08-11,Lettre,64
267,2020-08-12,Lettre,22
268,2020-08-13,Lettre,31
269,2020-08-14,Lettre,22
270,2020-08-15,Lettre,47
271,2020-08-16,Lettre,45
272,2020-08-17,Lettre,42
273,2020-05-19,Proficient,25
274,2020-05-20,Proficient,26
275,2020-05-21,Proficient,25
276,2020-05-22,Proficient,72
277,2020-05-23,Proficient,26
278,2020-05-24,Proficient,0
279,2020-05-25,Proficient,28
280,2020-05-26,Proficient,25
281,2020-05-27,Proficient,51
282,2020-05-28,Proficient,26
283,2020-05-29,Proficient,27
284,2020-05-30,Proficient,71
285,2020-05-31,Proficient,28
286,2020-06-01,Proficient,37
287,2020-06-02,Proficient,25
288,2020-06-03,Proficient,55
289,2020-06-04,Proficient,46
290,2020-06-05,Proficient,47
291,2020-06-06,Proficient,52
292,2020-06-07,Proficient,53
293,2020-06-08,Proficient,34
294,2020-06-09,Proficient,47
295,2020-06-10,Proficient,0
296,2020-06-11,Proficient,93
297,2020-06-12,Proficient,61
298,2020-06-13,Proficient,56
299,2020-06-14,Proficient,27
300,2020-06-15,Proficient,73
301,2020-06-16,Proficient,23
302,2020-06-17,Proficient,96
303,2020-06-18,Proficient,59
304,2020-06-19,Proficient,72
305,2020-06-20,Proficient,28
306,2020-06-21,Proficient,27
307,2020-06-22,Proficient,25
308,2020-06-23,Proficient,25
309,2020-06-24,Proficient,65
310,2020-06-25,Proficient,39
311,2020-06-26,Proficient,25
312,2020-06-27,Proficient,26
313,2020-06-28,Proficient,64
314,2020-06-29,Proficient,48
315,2020-06-30,Proficient,37
316,2020-07-01,Proficient,98
317,2020-07-02,Proficient,49
318,2020-07-03,Proficient,37
319,2020-07-04,Proficient,27
320,2020-07-05,Proficient,27
321,2020-07-06,Proficient,100
322,2020-07-07,Proficient,50
323,2020-07-08,Proficient,38
324,2020-07-09,Proficient,25
325,2020-07-10,Proficient,0
326,2020-07-11,Proficient,30
327,2020-07-12,Proficient,0
328,2020-07-13,Proficient,51
329,2020-07-14,Proficient,51
330,2020-07-15,Proficient,26
331,2020-07-16,Proficient,53
332,2020-07-17,Proficient,28
333,2020-07-18,Proficient,59
334,2020-07-19,Proficient,0
335,2020-07-20,Proficient,54
336,2020-07-21,Proficient,55
337,2020-07-22,Proficient,54
338,2020-07-23,Proficient,54
339,2020-07-24,Proficient,42
340,2020-07-25,Proficient,44
341,2020-07-26,Proficient,44
342,2020-07-27,Proficient,0
343,2020-07-28,Proficient,40
344,2020-07-29,Proficient,28
345,2020-07-30,Proficient,85
346,2020-07-31,Proficient,30
347,2020-08-01,Proficient,0
348,2020-08-02,Proficient,30
349,2020-08-03,Proficient,40
350,2020-08-04,Proficient,39
351,2020-08-05,Proficient,67
352,2020-08-06,Proficient,28
353,2020-08-07,Proficient,0
354,2020-08-08,Proficient,63
355,2020-08-09,Proficient,46
356,2020-08-10,Proficient,27
357,2020-08-11,Proficient,67
358,2020-08-12,Proficient,28
359,2020-08-13,Proficient,80
360,2020-08-14,Proficient,41
361,2020-08-15,Proficient,75
362,2020-08-16,Proficient,29
363,2020-08-17,Proficient,94
364,2020-05-19,Proficiency,78
365,2020-05-20,Proficiency,50
366,2020-05-21,Proficiency,56
367,2020-05-22,Proficiency,82
368,2020-05-23,Proficiency,100
369,2020-05-24,Proficiency,33
370,2020-05-25,Proficiency,56
371,2020-05-26,Proficiency,37
372,2020-05-27,Proficiency,25
373,2020-05-28,Proficiency,51
374,2020-05-29,Proficiency,13
375,2020-05-30,Proficiency,42
376,2020-05-31,Proficiency,49
377,2020-06-01,Proficiency,42
378,2020-06-02,Proficiency,48
379,2020-06-03,Proficiency,48
380,2020-06-04,Proficiency,50
381,2020-06-05,Proficiency,74
382,2020-06-06,Proficiency,25
383,2020-06-07,Proficiency,26
384,2020-06-08,Proficiency,56
385,2020-06-09,Proficiency,57
386,2020-06-10,Proficiency,46
387,2020-06-11,Proficiency,51
388,2020-06-12,Proficiency,18
389,2020-06-13,Proficiency,48
390,2020-06-14,Proficiency,41
391,2020-06-15,Proficiency,84
392,2020-06-16,Proficiency,40
393,2020-06-17,Proficiency,23
394,2020-06-18,Proficiency,46
395,2020-06-19,Proficiency,30
396,2020-06-20,Proficiency,34
397,2020-06-21,Proficiency,27
398,2020-06-22,Proficiency,49
399,2020-06-23,Proficiency,49
400,2020-06-24,Proficiency,38
401,2020-06-25,Proficiency,25
402,2020-06-26,Proficiency,12
403,2020-06-27,Proficiency,38
404,2020-06-28,Proficiency,25
405,2020-06-29,Proficiency,41
406,2020-06-30,Proficiency,24
407,2020-07-01,Proficiency,48
408,2020-07-02,Proficiency,42
409,2020-07-03,Proficiency,42
410,2020-07-04,Proficiency,33
411,2020-07-05,Proficiency,20
412,2020-07-06,Proficiency,61
413,2020-07-07,Proficiency,30
414,2020-07-08,Proficiency,37
415,2020-07-09,Proficiency,24
416,2020-07-10,Proficiency,46
417,2020-07-11,Proficiency,59
418,2020-07-12,Proficiency,44
419,2020-07-13,Proficiency,44
420,2020-07-14,Proficiency,25
421,2020-07-15,Proficiency,13
