,Channel Name:,Title:,Thumbnail:,Link:
30,SwagyTracks,Abstract - Exposed (ft. Roze) (Prod. Drumma Battalion),https://i.ytimg.com/vi/02JH9on5AoY/hqdefault.jpg,https://www.youtube.com/watch?v=02JH9on5AoY
31,SwagyTracks,Abstract - Ride With Me (ft. Ivan B &amp; Francine Kandjo) (Prod. Drumma Battalion),https://i.ytimg.com/vi/_I6CtY7YbIM/hqdefault.jpg,https://www.youtube.com/watch?v=_I6CtY7YbIM
32,The School of UX,Abstract: The Art of Design (Season 1),https://i.ytimg.com/vi/q_k8fVNzbGU/hqdefault.jpg,https://www.youtube.com/results?search_query=PLuctemCzX-m4svPpBctWUp0oG__Lhglq9
33,Abstract,Abstract - Neverland (ft. Ruth B) Prod. Blulake OFFICIAL MUSIC VIDEO,https://i.ytimg.com/vi/iAW3EV0YMj8/hqdefault.jpg,https://www.youtube.com/watch?v=iAW3EV0YMj8
34,SwagyTracks,Abstract - Not Alone (feat. Roze),https://i.ytimg.com/vi/qIiivQHS7Wo/hqdefault.jpg,https://www.youtube.com/watch?v=qIiivQHS7Wo
35,Netflix,Abstract: The Art of Design | Bjarke Ingels: Architecture | FULL EPISODE | Netflix,https://i.ytimg.com/vi/rKeFCd1j5BE/hqdefault.jpg,https://www.youtube.com/watch?v=rKeFCd1j5BE
36,Netflix,Abstract: The Art of Design | Platon: Photography | FULL EPISODE | Netflix,https://i.ytimg.com/vi/BDpqt-haLLM/hqdefault.jpg,https://www.youtube.com/watch?v=BDpqt-haLLM
37,SwagyTracks,Abstract - Shades (Prod. Drumma Battalion),https://i.ytimg.com/vi/OOzd80iujk0/hqdefault.jpg,https://www.youtube.com/watch?v=OOzd80iujk0
38,Arte brigade,BOLD &amp; BEAUTIFUL ABSTRACT ART🤩 |abstract art |Texture art|Acrylic painting |Beginner level demo,https://i.ytimg.com/vi/EuXbxlc6Y3A/hqdefault.jpg,https://www.youtube.com/watch?v=EuXbxlc6Y3A
39,Abstract,Abstract - Moon 52 Freestyle (Prod. Dio Mudara),https://i.ytimg.com/vi/iu6tuNnneKk/hqdefault.jpg,https://www.youtube.com/watch?v=iu6tuNnneKk
40,SurajFineArts - Abstract ART,Abstract Flower Painting  / Easy Technique For Beginners / Satisfying / Project 100 Days / Day #76,https://i.ytimg.com/vi/ckQSPibij2g/hqdefault.jpg,https://www.youtube.com/watch?v=ckQSPibij2g
41,SwagyTracks,Abstract - Darkest Places (ft. Jonny Koch &amp; Aspen Dawn),https://i.ytimg.com/vi/-dHkBo174ac/hqdefault.jpg,https://www.youtube.com/watch?v=-dHkBo174ac
42,Netflix,Abstract: The Art of Design | Ilse Crawford: Interior Design | FULL EPISODE | Netflix,https://i.ytimg.com/vi/5f7fHHEr_NA/hqdefault.jpg,https://www.youtube.com/watch?v=5f7fHHEr_NA
43,Abstract,Abstract,https://yt3.ggpht.com/-0rQ95rBy7ng/AAAAAAAAAAI/AAAAAAAAAAA/rbpgCpvIUGs/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,https://www.youtube.com/channel/UCM0JrsmF-LDfA8qkpYTYbsg
44,Ms. Leonalyn Tayone [Solving Math the easiest way],10-item Abstract Reasoning Test,https://i.ytimg.com/vi/USBha7DFElg/hqdefault.jpg,https://www.youtube.com/watch?v=USBha7DFElg
45,5-Minute Crafts,37 MESMERIZING ABSTRACT ART TECHNIQUES,https://i.ytimg.com/vi/MYaOq9Lqk6Y/hqdefault.jpg,https://www.youtube.com/watch?v=MYaOq9Lqk6Y
46,Abstract,Abstract &amp; Blulake - Vampire,https://i.ytimg.com/vi/0o9uP69jc2A/hqdefault.jpg,https://www.youtube.com/watch?v=0o9uP69jc2A
47,Wandering Underground,Abstract - Last Laugh (ft. RoZe) (Prod. Dio Mudara) | (Kintsugi - 2020),https://i.ytimg.com/vi/iISKXPjWUb4/hqdefault.jpg,https://www.youtube.com/watch?v=iISKXPjWUb4
48,Abstract,Abstract - Inside Out (Official Music Video),https://i.ytimg.com/vi/MGtpzImHfRY/hqdefault.jpg,https://www.youtube.com/watch?v=MGtpzImHfRY
49,Gail Burstyn Life In Splatters,Floating Cup.. shmears.. Using Colourarte and Pearl Ex pigments..acrylic pour..abstract art// asmr,https://i.ytimg.com/vi/SFPdeQYJCyQ/hqdefault.jpg,https://www.youtube.com/watch?v=SFPdeQYJCyQ
