,query,value
0,clip art,100
1,art museum,85
2,wall art,46
3,what is art,28
4,art school,26
5,art center,25
6,fan art,25
7,black art,21
8,google art,20
9,nail art,20
10,art institute,20
11,art van,19
12,sword art online,19
13,pixel art,18
14,art history,16
15,canvas art,15
16,art definition,15
17,art work,15
18,modern art,14
19,art ideas,14
20,art deco,13
21,art for kids,13
22,free clip art,12
23,art store,12
24,art classes,10
