,0
0,#WednesdayWisdom
1,#WorldPhotographyDay
2,#NationalAviationDay
3,#SpotifyDown
4,#MariahOnGMA
5,#WorldHumanitarianDay
6,#kfantrivia
7,#DeathOnTheNile
8,#iHeartDay3Contest
9,#CaliforniaFires
10,#RubioReport
11,#9YearsOfLittleMix
12,#1linewed
13,#LONG_LIVED_ONEUS
14,#FelizMiercoles
15,#TrumpCrimesCommission
16,#risdwevegotthis
